"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Python", "vue", "MS SQL", "PostCSS", "Shell Script", "Properties", "YAML", "Docker", "pip requirements", "HTML", "Ignore", "XML", "comment", "blank", "total"
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\decor\hexagon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\decor\spark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\decor\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\index.ts", "TypeScript", 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 205
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\bladesworn.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\brandbreaker.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\catalyst.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\chronomancer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\deadeye.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\dragonhunter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\druid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\elementalist.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\engineer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\firebrand.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\guardian.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\harbinger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\profession\herald.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
